ejemplo_0,1652971154.367,0.911,0.2333,0.937,0.1669


ejemplo_0,1652971173.536,0.934,0.1692,0.947,0.1709


ejemplo_0,1652971192.45,0.941,0.1574,0.923,0.2212


ejemplo_0,1652971211.526,0.945,0.1469,0.933,0.1843


ejemplo_0,1652971230.317,0.947,0.14,0.957,0.1375


ejemplo_0,1652971249.157,0.947,0.1419,0.957,0.1381


ejemplo_0,1652971268.35,0.952,0.1342,0.93,0.1619


ejemplo_0,1652971287.386,0.954,0.1288,0.95,0.14


ejemplo_0,1652971306.191,0.953,0.1301,0.94,0.1574


ejemplo_0,1652971325.169,0.952,0.1344,0.943,0.1496


