ejemplo_5,1652972203.461,0.9,0.2556,0.92,0.1711


ejemplo_5,1652972222.951,0.933,0.1799,0.933,0.146


ejemplo_5,1652972242.694,0.938,0.168,0.97,0.106


ejemplo_5,1652972262.161,0.945,0.1503,0.947,0.1254


ejemplo_5,1652972281.469,0.943,0.1486,0.953,0.1126


ejemplo_5,1652972300.809,0.948,0.1444,0.963,0.1147


ejemplo_5,1652972320.055,0.945,0.1448,0.97,0.097


ejemplo_5,1652972339.623,0.952,0.1354,0.963,0.0965


ejemplo_5,1652972359.405,0.952,0.1375,0.96,0.1091


ejemplo_5,1652972378.842,0.95,0.1369,0.963,0.1015


