ejemplo_1,1652971360.933,0.905,0.2446,0.977,0.0892


ejemplo_1,1652971380.496,0.928,0.1816,0.973,0.1031


ejemplo_1,1652971400.492,0.936,0.1662,0.957,0.105


ejemplo_1,1652971419.944,0.939,0.1582,0.983,0.0719


ejemplo_1,1652971439.751,0.945,0.1456,0.97,0.0751


ejemplo_1,1652971459.279,0.946,0.1451,0.983,0.0682


ejemplo_1,1652971478.773,0.948,0.1376,0.967,0.0965


ejemplo_1,1652971498.529,0.949,0.1398,0.963,0.1106


ejemplo_1,1652971518.386,0.948,0.1371,0.977,0.0909


ejemplo_1,1652971537.912,0.951,0.1356,0.997,0.0622


