ejemplo_3,1652971781.342,0.898,0.2654,0.843,0.3638


ejemplo_3,1652971800.794,0.935,0.1698,0.86,0.4643


ejemplo_3,1652971820.284,0.944,0.1536,0.873,0.3685


ejemplo_3,1652971839.652,0.946,0.1419,0.893,0.3679


ejemplo_3,1652971859.382,0.95,0.1354,0.863,0.3559


ejemplo_3,1652971879.11,0.953,0.1309,0.893,0.3183


ejemplo_3,1652971898.608,0.953,0.1294,0.86,0.4737


ejemplo_3,1652971917.98,0.953,0.1286,0.863,0.3891


ejemplo_3,1652971937.343,0.957,0.1245,0.843,0.5103


ejemplo_3,1652971956.786,0.956,0.1197,0.893,0.3816


