ejemplo0,1653907566.756,0.89,0.3087,[[114758   1094][ 13423   2612]],0.851,0.468,[[14336   261][ 2266    65]]


ejemplo0,1653909063.516,0.908,0.2454,[[114145   1707][ 10381   5654]],0.855,0.528,[[14460   137][ 2310    21]]


ejemplo0,1653910564.028,0.923,0.2038,[[114002   1850][  8267   7768]],0.845,0.5738,[[14253   344][ 2272    59]]


ejemplo0,1653912074.831,0.941,0.1591,[[114132   1720][  6102   9933]],0.84,0.6497,[[14168   429][ 2277    54]]


ejemplo0,1653913580.504,0.961,0.1078,[[114502   1350][  3855  12180]],0.832,0.7437,[[13981   616][ 2222   109]]


ejemplo0,1653915085.587,0.976,0.0662,[[114858    994][  2141  13894]],0.846,0.9946,[[14271   326][ 2273    58]]


ejemplo0,1653916563.029,0.985,0.0441,[[115121    731][  1276  14759]],0.837,0.9995,[[14059   538][ 2216   115]]


ejemplo0,1653918057.974,0.988,0.0338,[[115268    584][   959  15076]],0.828,1.1461,[[13817   780][ 2124   207]]


ejemplo0,1653919571.445,0.99,0.0287,[[115325    527][   850  15185]],0.837,1.4083,[[14052   545][ 2208   123]]


ejemplo0,1653921082.761,0.992,0.0234,[[115434    418][   643  15392]],0.845,1.8769,[[14248   349][ 2274    57]]


