ejemplo,1652257734.699,0.979,0.0651,3.957,0.1573


ejemplo,1652259173.181,0.941,0.1684,0.941,0.1579


ejemplo,1652259229.363,0.965,0.0992,0.964,0.0916


ejemplo,1652259285.99,0.963,0.098,0.979,0.0704


ejemplo,1652259341.813,0.971,0.0797,0.974,0.067


ejemplo,1652259398.443,0.969,0.089,0.969,0.0857


ejemplo,1652259454.719,0.97,0.0786,0.975,0.0648


ejemplo,1652259511.473,0.976,0.0688,0.976,0.0783


ejemplo,1652259567.639,0.979,0.0633,0.97,0.0865


ejemplo,1652259624.389,0.979,0.0625,0.974,0.0753


ejemplo,1652259680.862,0.977,0.0607,0.966,0.0737


ejemplo,1652259737.803,0.978,0.0523,0.976,0.0811


ejemplo,1652259794.548,0.98,0.0545,0.974,0.0775


ejemplo,1652259851.18,0.981,0.0548,0.969,0.0826


ejemplo,1652259907.744,0.975,0.0733,0.972,0.0845


ejemplo,1652259964.261,0.982,0.0514,0.973,0.0768


ejemplo,1652260021.081,0.98,0.0556,0.985,0.0478


ejemplo,1652260076.379,0.981,0.0521,0.972,0.0745


ejemplo,1652260131.736,0.984,0.0457,0.98,0.0697


ejemplo,1652260187.418,0.982,0.0458,0.975,0.069


ejemplo,1652260274.178,0.981,0.0619,0.98,0.0573


ejemplo,1652260330.131,0.985,0.0483,0.98,0.0638


ejemplo,1652260385.622,0.979,0.0652,0.978,0.0612


ejemplo,1652260442.34,0.984,0.0468,0.972,0.0668


ejemplo,1652260499.789,0.982,0.0495,0.985,0.0478


ejemplo,1652260556.243,0.982,0.0488,0.976,0.0676


ejemplo,1652260613.485,0.981,0.0515,0.974,0.0773


ejemplo,1652260670.559,0.982,0.0494,0.984,0.0527


ejemplo,1652260728.687,0.983,0.0485,0.976,0.0667


ejemplo,1652260785.422,0.983,0.0463,0.977,0.0665


ejemplo,1652260842.432,0.981,0.051,0.978,0.0621


ejemplo,1652260899.2,0.982,0.0485,0.976,0.0644


ejemplo,1652260956.236,0.984,0.0482,0.974,0.0691


ejemplo,1652261012.996,0.982,0.0486,0.974,0.0575


ejemplo,1652261070.404,0.982,0.0496,0.976,0.0744


ejemplo,1652261127.209,0.984,0.0466,0.985,0.0509


