ejemplo_7,1652972626.052,0.904,0.2486,0.94,0.1516


ejemplo_7,1652972645.732,0.931,0.1828,0.94,0.155


ejemplo_7,1652972665.325,0.941,0.1598,0.95,0.1578


ejemplo_7,1652972684.865,0.943,0.1557,0.957,0.1378


ejemplo_7,1652972704.769,0.947,0.1467,0.957,0.1363


ejemplo_7,1652972724.71,0.947,0.1448,0.953,0.1383


ejemplo_7,1652972744.332,0.949,0.1366,0.937,0.1561


ejemplo_7,1652972763.899,0.952,0.1348,0.947,0.1327


ejemplo_7,1652972783.524,0.953,0.1309,0.953,0.1159


ejemplo_7,1652972803.123,0.955,0.1295,0.943,0.1523


