ejemplo_4,1652971992.37,0.909,0.2414,0.93,0.1769


ejemplo_4,1652972011.896,0.931,0.1742,0.913,0.2056


ejemplo_4,1652972031.327,0.939,0.1618,0.93,0.1821


ejemplo_4,1652972050.624,0.942,0.1515,0.953,0.1303


ejemplo_4,1652972070.044,0.946,0.1465,0.937,0.1881


ejemplo_4,1652972089.652,0.948,0.1408,0.93,0.1596


ejemplo_4,1652972109.352,0.952,0.1366,0.95,0.1671


ejemplo_4,1652972128.921,0.95,0.137,0.927,0.1798


ejemplo_4,1652972148.358,0.95,0.1361,0.963,0.1333


ejemplo_4,1652972167.896,0.951,0.1353,0.94,0.1415


