ejemplo_9,1652973060.764,0.895,0.2749,0.91,0.2857


ejemplo_9,1652973080.774,0.932,0.1779,0.93,0.2101


ejemplo_9,1652973101.134,0.939,0.1542,0.903,0.2769


ejemplo_9,1652973121.491,0.942,0.1525,0.92,0.2979


ejemplo_9,1652973142.035,0.949,0.1396,0.923,0.2101


ejemplo_9,1652973162.329,0.95,0.1358,0.94,0.182


ejemplo_9,1652973182.672,0.951,0.1315,0.927,0.2387


ejemplo_9,1652973202.954,0.95,0.1327,0.91,0.2421


ejemplo_9,1652973223.349,0.953,0.1295,0.943,0.2256


ejemplo_9,1652973243.794,0.953,0.1262,0.94,0.2453


